id,variant_name,type,pattern,scenario,impact,example
941,Reentrancy Variant 941,Reentrancy via delegatecall,Hooks triggered without control flow guard,Variant #941: Reentrancy via delegatecall caused by Hooks triggered without control flow guard. Attacker reenters contract flow before state update.,Unauthorized repeated withdrawals,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
942,Reentrancy Variant 942,Single-function reentrancy,Balance checked after transfer,Variant #942: Single-function reentrancy caused by Balance checked after transfer. Attacker reenters contract flow before state update.,Draining rewards pool,Cross-function: deposit() sets state after external token transfer().
943,Reentrancy Variant 943,ERC777-hook reentrancy,External call inside loop,Variant #943: ERC777-hook reentrancy caused by External call inside loop. Attacker reenters contract flow before state update.,Draining rewards pool,Vault updates shares after sending tokens to attacker contract.
944,Reentrancy Variant 944,Pull-payment reentrancy,Upgradeable proxy storage collision,Variant #944: Pull-payment reentrancy caused by Upgradeable proxy storage collision. Attacker reenters contract flow before state update.,Unauthorized repeated withdrawals,Attacker leverages ERC777 tokens to reenter before balance is updated.
945,Reentrancy Variant 945,Read-only reentrancy,Balance checked after transfer,Variant #945: Read-only reentrancy caused by Balance checked after transfer. Attacker reenters contract flow before state update.,Inflated share minting,Cross-function: deposit() sets state after external token transfer().
946,Reentrancy Variant 946,Recursive fallback reentrancy,Fallback invoked before state lock,Variant #946: Recursive fallback reentrancy caused by Fallback invoked before state lock. Attacker reenters contract flow before state update.,Token supply manipulation,Vault updates shares after sending tokens to attacker contract.
947,Reentrancy Variant 947,Withdraw-before-update reentrancy,Fallback invoked before state lock,Variant #947: Withdraw-before-update reentrancy caused by Fallback invoked before state lock. Attacker reenters contract flow before state update.,Unauthorized repeated withdrawals,Vault updates shares after sending tokens to attacker contract.
948,Reentrancy Variant 948,Cross-contract reentrancy,Recursive callback before mutation,Variant #948: Cross-contract reentrancy caused by Recursive callback before mutation. Attacker reenters contract flow before state update.,Draining rewards pool,Vault updates shares after sending tokens to attacker contract.
949,Reentrancy Variant 949,Reentrancy via delegatecall,Balance checked after transfer,Variant #949: Reentrancy via delegatecall caused by Balance checked after transfer. Attacker reenters contract flow before state update.,Draining rewards pool,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
950,Reentrancy Variant 950,Reentrancy via delegatecall,State updated after external call,Variant #950: Reentrancy via delegatecall caused by State updated after external call. Attacker reenters contract flow before state update.,Unauthorized repeated withdrawals,Attacker leverages ERC777 tokens to reenter before balance is updated.
951,Reentrancy Variant 951,ERC777-hook reentrancy,Balance checked after transfer,Variant #951: ERC777-hook reentrancy caused by Balance checked after transfer. Attacker reenters contract flow before state update.,Partial draining of pooled funds,Cross-function: deposit() sets state after external token transfer().
952,Reentrancy Variant 952,State-dependent reentrancy,Unsafe external call to attacker contract,Variant #952: State-dependent reentrancy caused by Unsafe external call to attacker contract. Attacker reenters contract flow before state update.,Unauthorized repeated withdrawals,Cross-function: deposit() sets state after external token transfer().
953,Reentrancy Variant 953,Pull-payment reentrancy,Hooks triggered without control flow guard,Variant #953: Pull-payment reentrancy caused by Hooks triggered without control flow guard. Attacker reenters contract flow before state update.,Unauthorized repeated withdrawals,Cross-function: deposit() sets state after external token transfer().
954,Reentrancy Variant 954,Recursive fallback reentrancy,Fallback invoked before state lock,Variant #954: Recursive fallback reentrancy caused by Fallback invoked before state lock. Attacker reenters contract flow before state update.,Token supply manipulation,Attacker leverages ERC777 tokens to reenter before balance is updated.
955,Reentrancy Variant 955,Cross-function reentrancy,Balance checked after transfer,Variant #955: Cross-function reentrancy caused by Balance checked after transfer. Attacker reenters contract flow before state update.,Complete balance drain,Cross-function: deposit() sets state after external token transfer().
956,Reentrancy Variant 956,Cross-contract reentrancy,Balance checked after transfer,Variant #956: Cross-contract reentrancy caused by Balance checked after transfer. Attacker reenters contract flow before state update.,Inflated share minting,Cross-function: deposit() sets state after external token transfer().
957,Reentrancy Variant 957,Read-only reentrancy,Unsafe external call to attacker contract,Variant #957: Read-only reentrancy caused by Unsafe external call to attacker contract. Attacker reenters contract flow before state update.,Bypassing access restrictions,Vault updates shares after sending tokens to attacker contract.
958,Reentrancy Variant 958,Single-function reentrancy,State updated after external call,Variant #958: Single-function reentrancy caused by State updated after external call. Attacker reenters contract flow before state update.,Inflated share minting,Vault updates shares after sending tokens to attacker contract.
959,Reentrancy Variant 959,Recursive fallback reentrancy,Balance checked after transfer,Variant #959: Recursive fallback reentrancy caused by Balance checked after transfer. Attacker reenters contract flow before state update.,Complete balance drain,Cross-function: deposit() sets state after external token transfer().
960,Reentrancy Variant 960,Cross-contract reentrancy,Balance checked after transfer,Variant #960: Cross-contract reentrancy caused by Balance checked after transfer. Attacker reenters contract flow before state update.,Unauthorized repeated withdrawals,Vault updates shares after sending tokens to attacker contract.
961,Reentrancy Variant 961,Withdraw-before-update reentrancy,Balance checked after transfer,Variant #961: Withdraw-before-update reentrancy caused by Balance checked after transfer. Attacker reenters contract flow before state update.,Inflated share minting,Cross-function: deposit() sets state after external token transfer().
962,Reentrancy Variant 962,Withdraw-before-update reentrancy,Hooks triggered without control flow guard,Variant #962: Withdraw-before-update reentrancy caused by Hooks triggered without control flow guard. Attacker reenters contract flow before state update.,Unauthorized repeated withdrawals,Vault updates shares after sending tokens to attacker contract.
963,Reentrancy Variant 963,ERC777-hook reentrancy,Recursive callback before mutation,Variant #963: ERC777-hook reentrancy caused by Recursive callback before mutation. Attacker reenters contract flow before state update.,Partial draining of pooled funds,Vault updates shares after sending tokens to attacker contract.
964,Reentrancy Variant 964,Reentrancy via delegatecall,Multiple entry points sharing same state variable,Variant #964: Reentrancy via delegatecall caused by Multiple entry points sharing same state variable. Attacker reenters contract flow before state update.,Token supply manipulation,Vault updates shares after sending tokens to attacker contract.
965,Reentrancy Variant 965,Pull-payment reentrancy,Hooks triggered without control flow guard,Variant #965: Pull-payment reentrancy caused by Hooks triggered without control flow guard. Attacker reenters contract flow before state update.,Partial draining of pooled funds,Cross-function: deposit() sets state after external token transfer().
966,Reentrancy Variant 966,Pull-payment reentrancy,State updated after external call,Variant #966: Pull-payment reentrancy caused by State updated after external call. Attacker reenters contract flow before state update.,Unauthorized repeated withdrawals,Vault updates shares after sending tokens to attacker contract.
967,Reentrancy Variant 967,Cross-function reentrancy,Balance checked after transfer,Variant #967: Cross-function reentrancy caused by Balance checked after transfer. Attacker reenters contract flow before state update.,Unauthorized repeated withdrawals,Attacker leverages ERC777 tokens to reenter before balance is updated.
968,Reentrancy Variant 968,Single-function reentrancy,Multiple entry points sharing same state variable,Variant #968: Single-function reentrancy caused by Multiple entry points sharing same state variable. Attacker reenters contract flow before state update.,Complete balance drain,Vault updates shares after sending tokens to attacker contract.
969,Reentrancy Variant 969,Read-only reentrancy,Fallback invoked before state lock,Variant #969: Read-only reentrancy caused by Fallback invoked before state lock. Attacker reenters contract flow before state update.,Draining rewards pool,Vault updates shares after sending tokens to attacker contract.
970,Reentrancy Variant 970,Read-only reentrancy,Hooks triggered without control flow guard,Variant #970: Read-only reentrancy caused by Hooks triggered without control flow guard. Attacker reenters contract flow before state update.,Unauthorized repeated withdrawals,Cross-function: deposit() sets state after external token transfer().
971,Reentrancy Variant 971,Cross-function reentrancy,Balance checked after transfer,Variant #971: Cross-function reentrancy caused by Balance checked after transfer. Attacker reenters contract flow before state update.,Draining rewards pool,Cross-function: deposit() sets state after external token transfer().
972,Reentrancy Variant 972,Single-function reentrancy,Missing reentrancy guard,Variant #972: Single-function reentrancy caused by Missing reentrancy guard. Attacker reenters contract flow before state update.,Token supply manipulation,Vault updates shares after sending tokens to attacker contract.
973,Reentrancy Variant 973,Recursive fallback reentrancy,Missing reentrancy guard,Variant #973: Recursive fallback reentrancy caused by Missing reentrancy guard. Attacker reenters contract flow before state update.,Draining rewards pool,Vault updates shares after sending tokens to attacker contract.
974,Reentrancy Variant 974,Withdraw-before-update reentrancy,Unsafe external call to attacker contract,Variant #974: Withdraw-before-update reentrancy caused by Unsafe external call to attacker contract. Attacker reenters contract flow before state update.,Partial draining of pooled funds,Cross-function: deposit() sets state after external token transfer().
975,Reentrancy Variant 975,Single-function reentrancy,Hooks triggered without control flow guard,Variant #975: Single-function reentrancy caused by Hooks triggered without control flow guard. Attacker reenters contract flow before state update.,Token supply manipulation,Attacker leverages ERC777 tokens to reenter before balance is updated.
976,Reentrancy Variant 976,Recursive fallback reentrancy,External call inside loop,Variant #976: Recursive fallback reentrancy caused by External call inside loop. Attacker reenters contract flow before state update.,Inflated share minting,Attacker leverages ERC777 tokens to reenter before balance is updated.
977,Reentrancy Variant 977,Single-function reentrancy,Upgradeable proxy storage collision,Variant #977: Single-function reentrancy caused by Upgradeable proxy storage collision. Attacker reenters contract flow before state update.,Unauthorized repeated withdrawals,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
978,Reentrancy Variant 978,Read-only reentrancy,Recursive callback before mutation,Variant #978: Read-only reentrancy caused by Recursive callback before mutation. Attacker reenters contract flow before state update.,Complete balance drain,Attacker leverages ERC777 tokens to reenter before balance is updated.
979,Reentrancy Variant 979,State-dependent reentrancy,State updated after external call,Variant #979: State-dependent reentrancy caused by State updated after external call. Attacker reenters contract flow before state update.,Draining rewards pool,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
980,Reentrancy Variant 980,Cross-function reentrancy,Balance checked after transfer,Variant #980: Cross-function reentrancy caused by Balance checked after transfer. Attacker reenters contract flow before state update.,Partial draining of pooled funds,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
981,Reentrancy Variant 981,Read-only reentrancy,Recursive callback before mutation,Variant #981: Read-only reentrancy caused by Recursive callback before mutation. Attacker reenters contract flow before state update.,Token supply manipulation,Cross-function: deposit() sets state after external token transfer().
982,Reentrancy Variant 982,Withdraw-before-update reentrancy,Recursive callback before mutation,Variant #982: Withdraw-before-update reentrancy caused by Recursive callback before mutation. Attacker reenters contract flow before state update.,Unauthorized repeated withdrawals,Cross-function: deposit() sets state after external token transfer().
983,Reentrancy Variant 983,Read-only reentrancy,Unsafe external call to attacker contract,Variant #983: Read-only reentrancy caused by Unsafe external call to attacker contract. Attacker reenters contract flow before state update.,Complete balance drain,Attacker leverages ERC777 tokens to reenter before balance is updated.
984,Reentrancy Variant 984,Read-only reentrancy,Missing reentrancy guard,Variant #984: Read-only reentrancy caused by Missing reentrancy guard. Attacker reenters contract flow before state update.,Token supply manipulation,Cross-function: deposit() sets state after external token transfer().
985,Reentrancy Variant 985,Single-function reentrancy,Upgradeable proxy storage collision,Variant #985: Single-function reentrancy caused by Upgradeable proxy storage collision. Attacker reenters contract flow before state update.,Draining rewards pool,Cross-function: deposit() sets state after external token transfer().
986,Reentrancy Variant 986,Cross-function reentrancy,Unsafe external call to attacker contract,Variant #986: Cross-function reentrancy caused by Unsafe external call to attacker contract. Attacker reenters contract flow before state update.,Bypassing access restrictions,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
987,Reentrancy Variant 987,ERC777-hook reentrancy,Fallback invoked before state lock,Variant #987: ERC777-hook reentrancy caused by Fallback invoked before state lock. Attacker reenters contract flow before state update.,Token supply manipulation,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
988,Reentrancy Variant 988,Cross-function reentrancy,Multiple entry points sharing same state variable,Variant #988: Cross-function reentrancy caused by Multiple entry points sharing same state variable. Attacker reenters contract flow before state update.,Inflated share minting,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
989,Reentrancy Variant 989,Pull-payment reentrancy,Recursive callback before mutation,Variant #989: Pull-payment reentrancy caused by Recursive callback before mutation. Attacker reenters contract flow before state update.,Draining rewards pool,Attacker leverages ERC777 tokens to reenter before balance is updated.
990,Reentrancy Variant 990,Cross-function reentrancy,State updated after external call,Variant #990: Cross-function reentrancy caused by State updated after external call. Attacker reenters contract flow before state update.,Complete balance drain,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
991,Reentrancy Variant 991,Reentrancy via delegatecall,Unsafe external call to attacker contract,Variant #991: Reentrancy via delegatecall caused by Unsafe external call to attacker contract. Attacker reenters contract flow before state update.,Complete balance drain,Vault updates shares after sending tokens to attacker contract.
992,Reentrancy Variant 992,Read-only reentrancy,Missing reentrancy guard,Variant #992: Read-only reentrancy caused by Missing reentrancy guard. Attacker reenters contract flow before state update.,Inflated share minting,Cross-function: deposit() sets state after external token transfer().
993,Reentrancy Variant 993,State-dependent reentrancy,Missing reentrancy guard,Variant #993: State-dependent reentrancy caused by Missing reentrancy guard. Attacker reenters contract flow before state update.,Token supply manipulation,Vault updates shares after sending tokens to attacker contract.
994,Reentrancy Variant 994,Single-function reentrancy,Missing reentrancy guard,Variant #994: Single-function reentrancy caused by Missing reentrancy guard. Attacker reenters contract flow before state update.,Bypassing access restrictions,Cross-function: deposit() sets state after external token transfer().
995,Reentrancy Variant 995,Recursive fallback reentrancy,Multiple entry points sharing same state variable,Variant #995: Recursive fallback reentrancy caused by Multiple entry points sharing same state variable. Attacker reenters contract flow before state update.,Unauthorized repeated withdrawals,Cross-function: deposit() sets state after external token transfer().
996,Reentrancy Variant 996,Cross-contract reentrancy,State updated after external call,Variant #996: Cross-contract reentrancy caused by State updated after external call. Attacker reenters contract flow before state update.,Unauthorized repeated withdrawals,Vault updates shares after sending tokens to attacker contract.
997,Reentrancy Variant 997,Single-function reentrancy,Multiple entry points sharing same state variable,Variant #997: Single-function reentrancy caused by Multiple entry points sharing same state variable. Attacker reenters contract flow before state update.,Token supply manipulation,Attacker leverages ERC777 tokens to reenter before balance is updated.
998,Reentrancy Variant 998,Read-only reentrancy,Unsafe external call to attacker contract,Variant #998: Read-only reentrancy caused by Unsafe external call to attacker contract. Attacker reenters contract flow before state update.,Bypassing access restrictions,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
999,Reentrancy Variant 999,Recursive fallback reentrancy,External call inside loop,Variant #999: Recursive fallback reentrancy caused by External call inside loop. Attacker reenters contract flow before state update.,Unauthorized repeated withdrawals,Vault updates shares after sending tokens to attacker contract.
1000,Reentrancy Variant 1000,Recursive fallback reentrancy,State updated after external call,Variant #1000: Recursive fallback reentrancy caused by State updated after external call. Attacker reenters contract flow before state update.,Bypassing access restrictions,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
1001,Reentrancy Variant 1001,Cross-contract reentrancy,External call inside loop,Variant #1001: Cross-contract reentrancy caused by External call inside loop. Attacker reenters contract flow before state update.,Partial draining of pooled funds,Cross-function: deposit() sets state after external token transfer().
1002,Reentrancy Variant 1002,Reentrancy via delegatecall,Fallback invoked before state lock,Variant #1002: Reentrancy via delegatecall caused by Fallback invoked before state lock. Attacker reenters contract flow before state update.,Inflated share minting,Vault updates shares after sending tokens to attacker contract.
1003,Reentrancy Variant 1003,Cross-contract reentrancy,External call inside loop,Variant #1003: Cross-contract reentrancy caused by External call inside loop. Attacker reenters contract flow before state update.,Inflated share minting,Vault updates shares after sending tokens to attacker contract.
1004,Reentrancy Variant 1004,Read-only reentrancy,Unsafe external call to attacker contract,Variant #1004: Read-only reentrancy caused by Unsafe external call to attacker contract. Attacker reenters contract flow before state update.,Complete balance drain,Vault updates shares after sending tokens to attacker contract.
1005,Reentrancy Variant 1005,Cross-contract reentrancy,Upgradeable proxy storage collision,Variant #1005: Cross-contract reentrancy caused by Upgradeable proxy storage collision. Attacker reenters contract flow before state update.,Bypassing access restrictions,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
1006,Reentrancy Variant 1006,Withdraw-before-update reentrancy,External call inside loop,Variant #1006: Withdraw-before-update reentrancy caused by External call inside loop. Attacker reenters contract flow before state update.,Token supply manipulation,Attacker leverages ERC777 tokens to reenter before balance is updated.
1007,Reentrancy Variant 1007,Pull-payment reentrancy,Unsafe external call to attacker contract,Variant #1007: Pull-payment reentrancy caused by Unsafe external call to attacker contract. Attacker reenters contract flow before state update.,Inflated share minting,Cross-function: deposit() sets state after external token transfer().
1008,Reentrancy Variant 1008,Single-function reentrancy,Fallback invoked before state lock,Variant #1008: Single-function reentrancy caused by Fallback invoked before state lock. Attacker reenters contract flow before state update.,Inflated share minting,Attacker leverages ERC777 tokens to reenter before balance is updated.
1009,Reentrancy Variant 1009,State-dependent reentrancy,Recursive callback before mutation,Variant #1009: State-dependent reentrancy caused by Recursive callback before mutation. Attacker reenters contract flow before state update.,Complete balance drain,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
1010,Reentrancy Variant 1010,Recursive fallback reentrancy,External call inside loop,Variant #1010: Recursive fallback reentrancy caused by External call inside loop. Attacker reenters contract flow before state update.,Inflated share minting,Attacker leverages ERC777 tokens to reenter before balance is updated.
1011,Reentrancy Variant 1011,Recursive fallback reentrancy,External call inside loop,Variant #1011: Recursive fallback reentrancy caused by External call inside loop. Attacker reenters contract flow before state update.,Complete balance drain,Attacker leverages ERC777 tokens to reenter before balance is updated.
1012,Reentrancy Variant 1012,ERC777-hook reentrancy,Balance checked after transfer,Variant #1012: ERC777-hook reentrancy caused by Balance checked after transfer. Attacker reenters contract flow before state update.,Complete balance drain,Cross-function: deposit() sets state after external token transfer().
1013,Reentrancy Variant 1013,Reentrancy via delegatecall,External call inside loop,Variant #1013: Reentrancy via delegatecall caused by External call inside loop. Attacker reenters contract flow before state update.,Draining rewards pool,Cross-function: deposit() sets state after external token transfer().
1014,Reentrancy Variant 1014,Cross-function reentrancy,Recursive callback before mutation,Variant #1014: Cross-function reentrancy caused by Recursive callback before mutation. Attacker reenters contract flow before state update.,Complete balance drain,Vault updates shares after sending tokens to attacker contract.
1015,Reentrancy Variant 1015,Recursive fallback reentrancy,Balance checked after transfer,Variant #1015: Recursive fallback reentrancy caused by Balance checked after transfer. Attacker reenters contract flow before state update.,Inflated share minting,Vault updates shares after sending tokens to attacker contract.
1016,Reentrancy Variant 1016,ERC777-hook reentrancy,Unsafe external call to attacker contract,Variant #1016: ERC777-hook reentrancy caused by Unsafe external call to attacker contract. Attacker reenters contract flow before state update.,Partial draining of pooled funds,Vault updates shares after sending tokens to attacker contract.
1017,Reentrancy Variant 1017,State-dependent reentrancy,Unsafe external call to attacker contract,Variant #1017: State-dependent reentrancy caused by Unsafe external call to attacker contract. Attacker reenters contract flow before state update.,Token supply manipulation,Attacker leverages ERC777 tokens to reenter before balance is updated.
1018,Reentrancy Variant 1018,Cross-function reentrancy,Missing reentrancy guard,Variant #1018: Cross-function reentrancy caused by Missing reentrancy guard. Attacker reenters contract flow before state update.,Complete balance drain,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
1019,Reentrancy Variant 1019,Cross-contract reentrancy,Multiple entry points sharing same state variable,Variant #1019: Cross-contract reentrancy caused by Multiple entry points sharing same state variable. Attacker reenters contract flow before state update.,Unauthorized repeated withdrawals,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
1020,Reentrancy Variant 1020,Cross-contract reentrancy,Missing reentrancy guard,Variant #1020: Cross-contract reentrancy caused by Missing reentrancy guard. Attacker reenters contract flow before state update.,Complete balance drain,Cross-function: deposit() sets state after external token transfer().
1021,Reentrancy Variant 1021,State-dependent reentrancy,Balance checked after transfer,Variant #1021: State-dependent reentrancy caused by Balance checked after transfer. Attacker reenters contract flow before state update.,Draining rewards pool,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
1022,Reentrancy Variant 1022,Cross-function reentrancy,Recursive callback before mutation,Variant #1022: Cross-function reentrancy caused by Recursive callback before mutation. Attacker reenters contract flow before state update.,Partial draining of pooled funds,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
1023,Reentrancy Variant 1023,ERC777-hook reentrancy,Multiple entry points sharing same state variable,Variant #1023: ERC777-hook reentrancy caused by Multiple entry points sharing same state variable. Attacker reenters contract flow before state update.,Draining rewards pool,Attacker leverages ERC777 tokens to reenter before balance is updated.
1024,Reentrancy Variant 1024,Pull-payment reentrancy,Fallback invoked before state lock,Variant #1024: Pull-payment reentrancy caused by Fallback invoked before state lock. Attacker reenters contract flow before state update.,Token supply manipulation,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
1025,Reentrancy Variant 1025,ERC777-hook reentrancy,State updated after external call,Variant #1025: ERC777-hook reentrancy caused by State updated after external call. Attacker reenters contract flow before state update.,Partial draining of pooled funds,Vault updates shares after sending tokens to attacker contract.
1026,Reentrancy Variant 1026,Recursive fallback reentrancy,Fallback invoked before state lock,Variant #1026: Recursive fallback reentrancy caused by Fallback invoked before state lock. Attacker reenters contract flow before state update.,Token supply manipulation,Attacker leverages ERC777 tokens to reenter before balance is updated.
1027,Reentrancy Variant 1027,State-dependent reentrancy,Balance checked after transfer,Variant #1027: State-dependent reentrancy caused by Balance checked after transfer. Attacker reenters contract flow before state update.,Bypassing access restrictions,Attacker leverages ERC777 tokens to reenter before balance is updated.
1028,Reentrancy Variant 1028,Cross-function reentrancy,Missing reentrancy guard,Variant #1028: Cross-function reentrancy caused by Missing reentrancy guard. Attacker reenters contract flow before state update.,Inflated share minting,Cross-function: deposit() sets state after external token transfer().
1029,Reentrancy Variant 1029,Withdraw-before-update reentrancy,External call inside loop,Variant #1029: Withdraw-before-update reentrancy caused by External call inside loop. Attacker reenters contract flow before state update.,Draining rewards pool,Vault updates shares after sending tokens to attacker contract.
1030,Reentrancy Variant 1030,Withdraw-before-update reentrancy,Upgradeable proxy storage collision,Variant #1030: Withdraw-before-update reentrancy caused by Upgradeable proxy storage collision. Attacker reenters contract flow before state update.,Unauthorized repeated withdrawals,Vault updates shares after sending tokens to attacker contract.
1031,Reentrancy Variant 1031,Pull-payment reentrancy,External call inside loop,Variant #1031: Pull-payment reentrancy caused by External call inside loop. Attacker reenters contract flow before state update.,Inflated share minting,Cross-function: deposit() sets state after external token transfer().
1032,Reentrancy Variant 1032,Pull-payment reentrancy,State updated after external call,Variant #1032: Pull-payment reentrancy caused by State updated after external call. Attacker reenters contract flow before state update.,Complete balance drain,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
1033,Reentrancy Variant 1033,ERC777-hook reentrancy,Hooks triggered without control flow guard,Variant #1033: ERC777-hook reentrancy caused by Hooks triggered without control flow guard. Attacker reenters contract flow before state update.,Inflated share minting,Attacker leverages ERC777 tokens to reenter before balance is updated.
1034,Reentrancy Variant 1034,Read-only reentrancy,Missing reentrancy guard,Variant #1034: Read-only reentrancy caused by Missing reentrancy guard. Attacker reenters contract flow before state update.,Draining rewards pool,Vault updates shares after sending tokens to attacker contract.
1035,Reentrancy Variant 1035,Single-function reentrancy,Upgradeable proxy storage collision,Variant #1035: Single-function reentrancy caused by Upgradeable proxy storage collision. Attacker reenters contract flow before state update.,Token supply manipulation,Cross-function: deposit() sets state after external token transfer().
1036,Reentrancy Variant 1036,Read-only reentrancy,Hooks triggered without control flow guard,Variant #1036: Read-only reentrancy caused by Hooks triggered without control flow guard. Attacker reenters contract flow before state update.,Draining rewards pool,Vault updates shares after sending tokens to attacker contract.
1037,Reentrancy Variant 1037,Pull-payment reentrancy,Unsafe external call to attacker contract,Variant #1037: Pull-payment reentrancy caused by Unsafe external call to attacker contract. Attacker reenters contract flow before state update.,Inflated share minting,Attacker leverages ERC777 tokens to reenter before balance is updated.
1038,Reentrancy Variant 1038,Recursive fallback reentrancy,Upgradeable proxy storage collision,Variant #1038: Recursive fallback reentrancy caused by Upgradeable proxy storage collision. Attacker reenters contract flow before state update.,Token supply manipulation,Vault updates shares after sending tokens to attacker contract.
1039,Reentrancy Variant 1039,Withdraw-before-update reentrancy,Fallback invoked before state lock,Variant #1039: Withdraw-before-update reentrancy caused by Fallback invoked before state lock. Attacker reenters contract flow before state update.,Token supply manipulation,Vault updates shares after sending tokens to attacker contract.
1040,Reentrancy Variant 1040,State-dependent reentrancy,Fallback invoked before state lock,Variant #1040: State-dependent reentrancy caused by Fallback invoked before state lock. Attacker reenters contract flow before state update.,Complete balance drain,Vault updates shares after sending tokens to attacker contract.
1041,Reentrancy Variant 1041,Read-only reentrancy,Balance checked after transfer,Variant #1041: Read-only reentrancy caused by Balance checked after transfer. Attacker reenters contract flow before state update.,Partial draining of pooled funds,Cross-function: deposit() sets state after external token transfer().
1042,Reentrancy Variant 1042,ERC777-hook reentrancy,Recursive callback before mutation,Variant #1042: ERC777-hook reentrancy caused by Recursive callback before mutation. Attacker reenters contract flow before state update.,Unauthorized repeated withdrawals,Cross-function: deposit() sets state after external token transfer().
1043,Reentrancy Variant 1043,Reentrancy via delegatecall,State updated after external call,Variant #1043: Reentrancy via delegatecall caused by State updated after external call. Attacker reenters contract flow before state update.,Token supply manipulation,Vault updates shares after sending tokens to attacker contract.
1044,Reentrancy Variant 1044,Reentrancy via delegatecall,Balance checked after transfer,Variant #1044: Reentrancy via delegatecall caused by Balance checked after transfer. Attacker reenters contract flow before state update.,Inflated share minting,Cross-function: deposit() sets state after external token transfer().
1045,Reentrancy Variant 1045,Withdraw-before-update reentrancy,State updated after external call,Variant #1045: Withdraw-before-update reentrancy caused by State updated after external call. Attacker reenters contract flow before state update.,Partial draining of pooled funds,Cross-function: deposit() sets state after external token transfer().
1046,Reentrancy Variant 1046,Withdraw-before-update reentrancy,Balance checked after transfer,Variant #1046: Withdraw-before-update reentrancy caused by Balance checked after transfer. Attacker reenters contract flow before state update.,Draining rewards pool,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
1047,Reentrancy Variant 1047,Cross-contract reentrancy,Balance checked after transfer,Variant #1047: Cross-contract reentrancy caused by Balance checked after transfer. Attacker reenters contract flow before state update.,Inflated share minting,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
1048,Reentrancy Variant 1048,Pull-payment reentrancy,Hooks triggered without control flow guard,Variant #1048: Pull-payment reentrancy caused by Hooks triggered without control flow guard. Attacker reenters contract flow before state update.,Complete balance drain,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
1049,Reentrancy Variant 1049,ERC777-hook reentrancy,Unsafe external call to attacker contract,Variant #1049: ERC777-hook reentrancy caused by Unsafe external call to attacker contract. Attacker reenters contract flow before state update.,Complete balance drain,Cross-function: deposit() sets state after external token transfer().
1050,Reentrancy Variant 1050,Cross-contract reentrancy,Balance checked after transfer,Variant #1050: Cross-contract reentrancy caused by Balance checked after transfer. Attacker reenters contract flow before state update.,Unauthorized repeated withdrawals,Vault updates shares after sending tokens to attacker contract.
1051,Reentrancy Variant 1051,Read-only reentrancy,Fallback invoked before state lock,Variant #1051: Read-only reentrancy caused by Fallback invoked before state lock. Attacker reenters contract flow before state update.,Complete balance drain,Vault updates shares after sending tokens to attacker contract.
1052,Reentrancy Variant 1052,State-dependent reentrancy,External call inside loop,Variant #1052: State-dependent reentrancy caused by External call inside loop. Attacker reenters contract flow before state update.,Draining rewards pool,Attacker leverages ERC777 tokens to reenter before balance is updated.
1053,Reentrancy Variant 1053,Withdraw-before-update reentrancy,Balance checked after transfer,Variant #1053: Withdraw-before-update reentrancy caused by Balance checked after transfer. Attacker reenters contract flow before state update.,Unauthorized repeated withdrawals,Attacker leverages ERC777 tokens to reenter before balance is updated.
1054,Reentrancy Variant 1054,Pull-payment reentrancy,External call inside loop,Variant #1054: Pull-payment reentrancy caused by External call inside loop. Attacker reenters contract flow before state update.,Unauthorized repeated withdrawals,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
1055,Reentrancy Variant 1055,Withdraw-before-update reentrancy,Balance checked after transfer,Variant #1055: Withdraw-before-update reentrancy caused by Balance checked after transfer. Attacker reenters contract flow before state update.,Token supply manipulation,Attacker leverages ERC777 tokens to reenter before balance is updated.
1056,Reentrancy Variant 1056,State-dependent reentrancy,Multiple entry points sharing same state variable,Variant #1056: State-dependent reentrancy caused by Multiple entry points sharing same state variable. Attacker reenters contract flow before state update.,Partial draining of pooled funds,Vault updates shares after sending tokens to attacker contract.
